I.D,,Department,Group,Teacher,Gender,Q1.1,Q2.1,Q3.1,Q4.1,Q5.1,Q6.1,M1,Q1.2,Q2.2,Q3.2,Q4.2,M2,Q1.3,Q2.3,Q3.3,Q4.3,Q5.3,Q6.3,M3,Q1.4,Q2.4,Q3.4,Q4.4,Q5.4,Q6.4,Final
1,6178,22,2,B,M,7,2,0,8,8,6,31,?,?,?,?,0,0,8,0,0,0,0,8,?,?,?,?,?,?,0
2,146,28,5,B,M,7,3,0,4,5,1,20,0,9,13,0,22,0,3,3,0,8,0,14,2,0,5,1,2,0,10
3,1197,26,4,B,M,6,4,0,6,0,4,20,0,3,8,0,11,0,0,0,0,9,0,9,10,0,3,4,1,3,21
4,1623,28,5,B,M,6,4,4,6,1,6,27,6,20,32,9,67,0,8,1,5,10,0,24,1,14,10,0,12,10,47
5,2974,27,4,B,M,5,0,0,5,0,0,10,0,19,0,0,19,0,4,1,0,0,0,5,5,0,10,0,0,0,15
6,3551,20,2,B,M,?,?,?,?,?,?,0,0,9,12,1,22,0,1,0,0,10,4,15,3,0,10,2,3,7,25
7,4631,20,4,B,M,5,4,4,6,8,6,33,1,14,24,7,46,0,0,0,1,9,9,19,12,0,6,3,6,7,34
8,5347,45,3,B,M,6,4,4,3,6,8,31,7,20,27,9,63,7,8,5,0,9,8,37,12,13,9,4,4,7,49
9,6008,21,4,B,F,5,4,4,4,1,4,22,0,20,12,9,41,9,2,1,0,0,8,20,4,2,10,1,7,3,27
10,6751,28,3,B,M,8,1,4,8,7,6,34,1,20,32,9,62,10,9,6,0,10,9,44,12,8,10,6,12,10,58
11,7112,25,3,B,M,7,4,0,8,8,4,31,6,18,22,1,47,6,7,0,2,10,10,35,12,12,10,8,12,10,64
12,7897,22,5,B,F,1,4,0,8,5,5,23,0,19,25,6,50,0,3,0,0,9,9,21,0,0,0,0,0,0,0
13,8763,21,4,B,F,8,4,0,8,6,4,30,0,17,21,1,39,0,4,4,1,10,8,27,8,0,10,6,14,7,45
14,9695,25,5,B,M,8,4,4,8,6,6,36,0,14,32,3,49,10,4,5,1,10,9,39,0,2,10,4,13,10,39
15,225,20,5,B,M,4,2,4,3,1,2,16,1,9,21,7,38,0,3,0,0,0,0,3,5,6,1,1,10,7,30
16,8702,27,2,B,M,1,1,4,4,0,0,10,0,11,6,7,24,0,0,0,0,0,0,0,0,0,0,2,6,7,15
17,243,21,4,B,M,6,2,4,2,0,0,14,0,0,0,0,0,7,0,0,10,7,0,24,4,12,3,0,0,0,19
18,1248,20,2,B,F,2,4,0,6,1,6,19,0,15,21,9,45,0,1,1,4,10,7,23,8,0,10,1,3,5,27
19,1691,45,3,B,M,?,?,?,?,?,?,0,7,14,34,12,67,10,10,5,7,0,10,42,8,12,10,6,14,10,60
20,3079,45,2,B,M,8,0,4,6,8,3,29,2,17,32,9,60,0,5,10,9,9,9,42,12,12,3,11,3,7,48
21,3573,45,2,B,M,8,2,0,8,7,6,31,5,19,30,6,60,2,8,2,0,10,6,28,12,0,10,12,12,10,56
22,4653,28,4,B,M,1,4,2,5,2,0,14,0,18,16,9,43,2,5,7,0,10,5,29,0,0,7,6,12,10,35
23,5499,24,2,B,M,?,?,?,?,?,?,0,1,16,17,9,43,0,0,7,0,8,8,23,12,6,10,9,4,0,41
24,6032,45,2,B,M,4,1,0,8,4,0,17,1,17,7,4,29,5,2,5,0,9,8,29,5,0,3,9,2,7,26
25,6813,25,1,B,M,7,4,4,8,6,5,34,1,19,21,9,50,7,1,5,0,10,7,30,6,6,8,6,9,10,45
26,7123,20,2,B,M,6,3,4,3,1,2,19,1,19,15,8,43,0,5,4,0,5,5,19,12,0,0,6,3,7,28
27,7926,45,3,B,M,4,2,4,8,6,5,29,0,19,30,9,58,0,0,0,0,0,0,0,7,0,10,9,2,7,35
28,8858,25,3,B,M,4,4,0,8,6,8,30,0,19,32,9,60,2,8,5,10,7,9,41,8,12,10,6,14,14,64
29,9713,28,5,B,M,4,4,2,4,6,4,24,2,8,10,4,24,0,1,1,0,10,10,22,8,0,10,4,5,7,34
30,282,28,2,B,M,6,4,2,7,8,3,30,1,20,25,9,55,0,7,6,0,8,8,29,12,13,10,2,5,10,52
31,1619,24,3,B,F,?,?,?,?,?,?,0,?,?,?,?,0,?,?,?,?,?,?,0,?,?,?,?,?,?,0
32,276,28,1,B,M,8,4,4,8,8,8,40,10,19,38,1,68,10,7,5,7,10,9,48,12,6,0,12,13,7,50
33,1301,40,3,B,F,6,0,4,5,1,6,22,1,16,24,1,42,0,5,0,0,7,9,21,8,6,7,1,1,10,33
34,1707,21,5,B,M,6,4,2,8,6,4,30,1,15,8,9,33,4,4,1,0,0,6,15,2,0,0,2,2,7,13
35,3121,25,5,B,M,8,2,4,4,2,6,26,2,8,22,7,39,0,6,10,3,10,9,38,5,7,10,5,8,10,45
36,3719,27,1,B,M,4,2,0,6,5,6,23,0,15,24,1,40,0,1,3,0,2,3,9,8,0,0,9,5,7,29
37,4675,25,3,B,M,8,4,4,8,8,8,40,10,20,38,9,77,?,?,?,?,?,?,0,12,12,10,7,14,10,65
38,5528,24,4,B,M,5,1,2,6,1,2,17,0,8,19,0,27,0,1,0,0,10,10,21,10,12,7,8,0,7,44
39,6065,20,4,B,M,8,4,4,3,0,5,24,1,20,30,9,60,5,6,0,7,8,9,35,3,0,8,0,5,4,20
40,6868,40,3,B,F,6,4,0,6,7,3,26,0,11,21,1,33,0,9,0,0,9,10,28,0,0,0,7,2,5,14
41,7134,28,1,B,M,5,4,4,8,6,2,29,1,24,16,9,50,0,1,3,0,10,10,24,0,0,6,4,14,10,34
42,7948,25,2,B,M,2,4,0,5,8,1,20,0,16,19,1,36,0,4,5,0,10,0,19,10,0,7,0,7,10,34
43,8871,25,5,B,M,8,2,0,8,6,8,32,3,20,32,9,64,0,7,5,0,10,9,31,12,0,4,12,14,10,52
44,9821,28,1,B,M,8,2,4,8,6,7,35,1,20,24,9,54,0,1,0,1,10,10,22,0,6,10,12,7,14,49
45,485,28,5,B,M,8,2,4,0,0,4,18,0,3,7,0,10,5,3,0,0,10,10,28,0,0,4,6,4,3,17
46,3922,22,2,B,M,8,4,0,6,0,2,20,0,4,7,0,11,0,3,0,0,2,0,5,0,0,0,0,2,10,12
47,287,45,3,B,M,8,3,4,8,7,7,37,0,16,18,1,35,10,8,8,4,7,9,46,10,0,1,12,7,3,33
48,1312,20,2,B,F,8,4,4,8,8,7,39,1,19,32,9,61,?,?,?,?,?,?,0,12,0,9,9,14,10,54
49,1742,22,4,B,M,4,0,0,0,4,4,12,0,10,10,0,20,0,6,0,0,0,0,6,0,6,0,0,0,10,16
50,3143,20,4,B,M,2,0,2,8,8,4,24,0,18,31,4,53,0,1,1,2,10,9,23,10,0,1,1,3,10,25
51,3849,28,1,B,M,3,2,0,3,5,3,16,7,20,32,9,68,9,2,5,0,8,10,34,0,12,10,1,11,14,48
52,4697,28,2,B,M,0,0,4,0,0,0,4,0,19,15,8,42,0,7,0,7,9,9,32,6,12,10,1,5,13,47
53,5541,20,1,B,F,6,4,4,8,6,2,30,7,17,27,7,58,0,5,4,0,7,4,20,6,6,10,6,6,10,44
54,6213,26,5,B,M,8,2,0,7,0,6,23,0,13,19,0,32,10,5,9,0,10,0,34,0,12,3,1,6,7,29
55,6881,20,5,B,F,5,4,1,8,0,2,20,0,14,19,0,33,3,0,5,0,10,9,27,8,12,3,1,4,14,42
56,7156,25,2,B,M,8,3,4,8,6,6,35,10,20,31,11,72,0,0,4,0,9,5,18,8,6,6,8,13,10,51
57,8009,25,4,B,M,8,4,4,7,4,6,33,10,20,32,9,71,0,0,3,0,0,9,12,12,2,6,11,13,10,54
58,8882,21,4,B,M,5,2,4,8,7,3,29,0,14,17,1,32,0,6,5,0,10,8,29,6,0,7,1,5,10,29
59,9832,25,2,B,M,3,0,4,6,2,2,17,7,20,22,5,54,0,1,1,5,9,9,25,0,6,10,8,10,7,41
60,496,24,1,B,M,?,?,?,?,?,?,0,0,0,11,0,11,0,0,3,6,0,5,14,0,12,0,0,12,2,26
61,4157,40,4,B,M,?,?,?,?,?,?,0,?,?,?,?,0,?,?,?,?,?,?,0,?,?,?,?,?,?,0
62,362,28,2,B,M,7,3,0,5,8,4,27,1,18,21,0,40,0,4,0,0,10,2,16,0,0,5,8,1,7,21
63,1345,22,5,B,M,6,4,4,4,5,5,28,?,?,?,?,0,8,4,3,0,2,9,26,10,0,3,8,2,8,31
64,1837,28,1,B,M,8,2,0,8,6,4,28,1,19,32,9,61,5,7,3,0,10,7,32,12,11,10,10,13,7,63
65,3227,27,3,B,M,5,4,4,6,1,4,24,0,18,8,9,35,0,3,4,0,0,8,15,4,0,0,0,0,0,4
66,3968,28,3,B,M,6,2,4,7,6,3,28,6,19,30,8,63,10,9,4,7,10,10,50,10,12,3,12,14,14,65
67,4704,20,5,B,M,6,1,4,8,8,5,32,0,20,20,11,51,0,5,3,0,9,9,26,0,12,10,9,14,7,52
68,5574,21,4,B,F,4,2,4,5,6,8,29,1,18,23,8,50,?,?,?,?,?,?,0,4,0,3,3,9,10,29
69,6321,21,3,B,F,4,4,0,4,1,4,17,0,19,17,9,45,10,5,1,3,0,10,29,10,0,0,3,0,7,20
70,6943,40,3,B,M,8,2,3,8,6,6,33,0,19,32,9,60,?,?,?,?,?,?,0,4,0,7,1,3,10,25
71,7531,22,4,B,M,6,4,4,7,5,6,32,0,11,25,9,45,?,?,?,?,?,?,0,4,0,0,3,3,3,13
72,8022,45,2,B,M,7,3,0,6,6,3,25,0,15,18,2,35,3,0,0,0,0,0,3,1,0,3,1,5,7,17
73,8893,28,1,B,M,8,1,4,6,8,5,32,1,19,19,9,48,4,5,3,0,10,9,31,0,0,3,4,7,8,22
74,9854,28,2,B,M,0,0,0,0,0,2,2,0,14,19,7,40,0,0,0,0,9,9,18,10,6,3,0,0,0,19
75,1005,49,2,B,F,?,?,?,?,?,?,0,?,?,?,?,0,0,0,0,0,0,0,0,8,0,10,2,6,0,26
76,384,28,4,B,M,8,4,4,8,7,7,38,7,19,23,9,58,2,9,9,5,10,5,40,12,11,10,12,13,10,68
77,1389,21,2,B,M,8,4,0,6,6,3,27,1,19,27,1,48,10,5,0,0,8,8,31,0,6,6,5,12,8,37
78,1859,45,1,B,M,7,4,4,6,5,4,30,0,20,23,0,43,0,3,0,0,10,0,13,12,0,8,4,7,9,40
79,3346,20,1,B,M,6,1,4,6,2,7,26,2,17,27,1,47,0,0,0,0,0,5,5,10,12,5,0,1,0,28
80,3992,25,3,B,M,5,3,4,8,8,5,33,6,16,32,7,61,0,0,0,0,0,0,0,6,6,10,9,14,10,55
81,4772,22,3,B,M,8,4,4,8,2,4,30,1,19,24,8,52,10,9,6,0,10,9,44,12,0,6,12,11,7,48
82,5596,28,1,B,M,7,4,0,8,6,6,31,1,17,32,7,57,3,8,4,1,10,9,35,4,0,4,2,9,10,29
83,6416,20,3,B,M,8,4,3,0,0,4,19,0,12,24,9,45,8,2,1,4,10,7,32,10,1,6,0,8,7,32
84,6954,28,3,B,M,4,4,0,4,0,4,16,1,12,23,8,44,0,1,0,0,0,1,2,3,12,0,9,6,9,39
85,7564,25,5,B,M,8,3,4,8,5,6,34,0,15,16,4,35,4,9,4,6,8,9,40,8,0,5,4,5,7,29
86,8066,26,2,B,M,4,4,0,6,6,0,20,0,14,17,6,37,0,2,1,0,7,5,15,2,0,2,2,3,8,17
87,9232,25,1,B,M,7,4,0,8,4,8,31,0,18,31,9,58,?,?,?,?,?,?,0,10,7,10,11,14,10,62
88,9927,40,5,B,M,6,0,4,8,7,6,31,3,20,32,11,66,10,7,0,1,10,10,38,0,12,10,5,7,10,44
89,1006,49,4,B,M,?,?,?,?,?,?,0,0,5,0,0,5,0,1,2,0,0,0,3,0,0,3,0,0,0,3
90,413,25,4,B,F,2,0,2,0,0,1,5,0,8,13,0,21,0,0,0,0,0,7,7,5,0,8,0,0,3,16
91,1429,25,3,B,M,0,3,2,5,6,0,16,0,18,22,1,41,0,6,7,6,10,10,39,0,0,9,1,10,9,29
92,2052,27,2,B,F,0,4,0,8,0,0,12,0,16,12,1,29,0,0,3,0,9,7,19,2,0,1,9,1,5,18
93,3357,27,3,B,M,2,1,2,6,1,2,14,0,13,0,0,13,0,2,3,0,9,9,23,3,0,0,5,8,10,26
94,4097,27,1,B,M,6,0,0,6,0,2,14,1,18,24,0,43,5,5,3,0,9,5,27,12,6,6,9,6,7,46
95,4845,27,3,B,M,8,3,4,8,6,6,35,10,20,22,1,53,5,6,7,0,10,9,37,12,0,7,11,12,9,51
96,5647,40,2,B,F,8,4,4,8,7,7,38,0,15,28,8,51,10,7,0,0,10,9,36,12,0,4,10,14,7,47
97,6427,20,3,B,M,8,0,3,8,6,4,29,0,19,30,4,53,?,?,?,?,?,?,0,0,12,8,9,10,7,46
98,6976,25,2,B,M,6,0,0,0,2,0,8,1,0,0,0,1,8,0,0,0,0,10,18,0,0,0,0,0,4,4
99,7615,25,2,B,M,5,4,0,0,1,0,10,6,20,24,1,51,8,4,3,7,7,10,39,10,6,10,4,12,10,52
100,8077,22,4,B,F,0,0,0,0,5,2,7,0,0,7,0,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0
101,9305,28,1,B,M,?,?,?,?,?,?,0,0,8,10,9,27,0,0,1,2,8,0,11,5,12,10,8,6,7,48
102,9949,20,3,B,M,4,0,0,2,2,0,8,0,10,19,0,29,0,0,1,0,3,4,8,6,0,0,0,0,7,13
103,1023,49,5,B,M,0,0,0,0,1,0,1,?,?,?,?,0,?,?,?,?,?,?,0,2,0,0,0,0,0,2
104,673,25,4,B,M,6,4,4,8,6,7,35,10,20,38,9,77,0,0,8,0,10,9,27,8,8,10,12,14,14,66
105,1442,20,1,B,M,8,4,0,7,1,2,22,10,20,29,9,68,10,8,8,10,0,5,41,5,12,10,12,12,7,58
106,2222,26,1,B,F,5,4,4,8,8,7,36,0,15,16,0,31,0,6,0,1,10,6,23,6,0,2,1,1,7,17
107,3381,20,4,B,M,5,1,0,8,4,4,22,0,13,16,4,33,5,1,2,1,10,9,28,12,12,2,0,1,10,37
108,4342,25,5,B,M,8,4,4,8,4,8,36,1,13,31,8,53,10,8,3,0,10,2,33,3,0,10,10,8,7,38
109,4889,22,1,B,M,8,2,0,2,1,4,17,0,4,14,1,19,0,0,3,0,0,1,4,0,0,2,0,1,0,3
110,5839,45,2,B,M,6,4,0,6,8,3,27,10,16,31,9,66,0,7,4,0,10,7,28,3,0,6,1,14,4,28
111,6484,25,2,B,M,6,2,4,3,0,2,17,0,18,23,1,42,0,5,0,0,9,7,21,12,0,7,12,11,8,50
112,6987,25,3,B,M,6,1,0,6,0,4,17,1,13,3,7,24,10,4,1,0,7,2,24,12,4,3,10,0,14,43
113,7659,28,1,B,M,5,0,2,0,4,4,15,0,20,17,9,46,0,1,1,0,10,0,12,10,0,10,3,4,10,37
114,8099,26,1,B,F,2,4,4,8,6,6,30,0,19,21,1,41,?,?,?,?,?,?,0,0,0,6,5,12,7,30
115,9351,25,1,B,M,?,?,?,?,?,?,0,10,18,22,4,54,7,1,3,1,10,8,30,10,4,6,10,12,12,54
116,9962,20,3,B,M,7,4,0,8,8,6,33,0,20,18,7,45,0,1,0,0,3,0,4,4,0,10,1,2,1,18
117,1024,49,3,B,F,4,2,0,8,1,1,16,0,8,16,0,24,0,4,0,0,10,0,14,2,0,3,2,3,7,17
118,695,45,5,B,M,7,2,0,8,6,7,30,0,14,15,9,38,0,4,7,0,10,4,25,12,0,5,3,10,10,40
119,1475,28,3,B,M,8,4,4,8,8,6,38,10,19,32,8,69,5,0,8,0,7,9,29,12,12,10,12,11,10,67
120,2363,21,4,B,F,6,4,4,2,7,0,23,0,20,17,9,46,0,0,0,0,0,0,0,12,0,0,5,3,7,27
121,3408,20,3,B,M,8,4,2,8,8,7,37,1,14,23,9,47,0,0,0,0,7,10,17,0,8,7,6,14,8,43
122,4426,45,2,B,M,6,2,4,8,5,6,31,0,20,22,8,50,0,6,5,0,0,4,15,5,12,10,5,12,10,54
123,4918,20,5,B,M,8,2,0,8,7,7,32,10,14,14,9,47,0,1,8,6,0,9,24,2,0,4,10,14,10,40
124,5874,28,4,B,M,3,3,0,7,8,6,27,0,8,16,9,33,?,?,?,?,?,?,0,0,2,3,5,1,8,19
125,6495,20,2,B,M,2,0,0,2,0,2,6,0,19,12,4,35,0,4,4,0,0,0,8,10,0,10,5,3,10,38
126,7037,27,1,B,M,6,2,0,6,6,6,26,0,20,11,6,37,0,0,5,0,0,0,5,0,0,10,6,14,7,37
127,7701,28,1,B,M,5,2,0,7,0,6,20,0,8,0,0,8,0,1,0,0,0,6,7,0,0,3,1,3,0,7
128,8152,27,4,B,M,4,1,0,6,6,0,17,0,14,6,0,20,0,2,0,0,9,9,20,0,0,5,5,4,10,24
129,9373,25,3,B,F,6,4,0,8,1,4,23,0,17,32,8,57,0,0,0,0,8,10,18,4,0,8,9,4,7,32
130,11,28,2,B,M,8,2,0,5,2,0,17,0,15,31,12,58,0,0,6,3,8,10,27,5,5,10,6,3,7,36
131,1059,49,3,B,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,735,45,4,B,M,3,2,0,4,1,4,14,0,2,14,0,16,0,2,1,0,9,7,19,0,0,6,1,0,7,14
133,1515,20,2,B,M,6,2,0,8,8,5,29,3,20,29,9,61,0,0,0,0,10,6,16,12,8,7,5,12,7,51
134,2577,45,5,B,F,8,2,0,8,5,6,29,0,17,30,9,56,0,3,0,0,10,10,23,1,6,6,6,12,10,41
135,3421,28,5,B,M,6,4,4,8,8,8,38,0,20,33,9,62,?,?,?,?,?,?,0,12,3,10,12,7,10,54
136,4556,25,4,B,M,8,3,4,8,2,7,32,10,20,32,9,71,3,8,3,10,0,1,25,0,6,10,10,14,10,50
137,5133,28,1,B,M,6,4,4,8,8,4,34,0,13,3,9,25,0,4,0,0,8,9,21,12,12,10,0,0,0,34
138,5914,27,5,B,M,2,2,4,6,0,4,18,0,18,18,6,42,0,0,3,0,10,7,20,2,0,0,0,5,8,15
139,6654,45,1,B,M,5,3,0,2,0,0,10,1,10,23,4,38,2,3,7,1,9,3,25,0,0,3,4,9,7,23
140,7061,45,4,B,M,5,4,4,8,6,5,32,0,16,22,9,47,0,1,0,3,10,7,21,10,2,3,4,8,10,37
141,7767,26,1,B,M,5,4,0,2,7,4,22,0,19,23,9,51,0,1,0,0,9,8,18,4,0,10,1,3,7,25
142,8333,22,5,B,M,4,0,0,5,6,3,18,1,18,6,1,26,0,0,0,0,0,2,2,12,0,0,0,0,0,12
143,9446,28,1,B,M,6,4,4,0,0,2,16,8,14,25,12,59,0,5,5,0,0,0,10,12,12,5,0,0,7,36
144,44,28,1,B,M,?,?,?,?,?,?,0,?,?,?,?,0,10,5,3,2,10,0,30,10,0,1,5,9,10,35
145,1066,49,3,B,M,0,1,4,0,0,0,5,0,0,0,0,0,?,?,?,?,?,?,0,0,0,0,0,0,0,0
146,768,21,5,B,M,0,0,0,0,0,0,0,?,?,?,?,0,0,0,1,0,0,0,1,?,?,?,?,?,?,0
147,1537,21,3,B,M,8,3,4,8,6,4,33,3,20,32,5,60,10,7,6,3,10,6,42,8,5,0,10,10,10,43
148,2663,28,1,B,F,8,4,4,8,8,4,36,10,20,25,9,64,?,?,?,?,?,?,0,10,11,10,1,14,10,56
149,3432,20,2,B,M,6,4,4,7,6,6,33,0,19,21,9,49,?,?,?,?,?,?,0,2,8,10,1,1,7,29
150,4578,25,4,B,M,6,4,4,3,0,2,19,0,14,13,1,28,0,5,0,0,10,10,25,6,0,1,6,12,3,28
151,5199,22,3,B,M,0,0,0,0,1,0,1,0,15,24,1,40,0,0,3,1,0,3,7,4,12,0,3,1,10,30
152,5947,28,4,B,M,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,7,10,17,0,0,7,3,1,7,18
153,6665,27,2,B,M,6,0,0,3,1,3,13,1,20,16,0,37,10,8,4,0,9,9,40,12,0,10,4,5,10,41
154,7083,25,3,B,M,4,1,0,8,6,6,25,1,16,15,9,41,7,7,1,0,10,8,33,12,6,7,4,10,0,39
155,7818,26,4,B,M,0,2,4,0,1,0,7,0,7,10,0,17,0,0,3,0,9,0,12,4,0,6,2,0,0,12
156,8536,28,3,B,M,2,1,0,8,6,4,21,1,19,13,1,34,0,0,0,2,7,10,19,0,2,7,12,2,7,30
157,9554,26,4,B,M,?,?,?,?,?,?,0,0,19,22,10,51,0,0,4,0,10,5,19,12,0,0,9,14,10,45
158,163,28,1,B,M,6,3,0,3,6,3,21,0,19,15,9,43,0,4,3,0,10,6,23,12,6,10,4,3,7,42
159,51,45,2,B,M,6,4,4,8,6,5,33,1,14,25,9,49,0,2,6,0,10,10,28,4,0,0,2,13,7,26
160,1067,21,4,B,M,5,2,0,8,0,6,21,1,20,23,9,53,0,5,10,0,10,10,35,0,0,10,10,14,7,41
