I.D,,Department,Group,Teacher,Gender,Q1.1,Q2.1,Q3.1,Q4.1,Q5.1,Q6.1,M1,Q1.2,Q2.2,Q3.2,Q4.2,M2,Q1.3,Q2.3,Q3.3,Q4.3,Q5.3,Q6.3,M3,Q1.4,Q2.4,Q3.4,Q4.4,Q5.4,Q6.4,Final
479,265,25,16,S,M,5,4,0,8,0,4,21,1,19,21,3,44,3,2,3,0,8,4,20,0,0,0,4,14,7,25
480,651,25,18,S,F,8,4,0,8,1,7,28,7,20,29,9,65,0,6,7,0,10,9,32,10,11,10,12,12,14,69
481,1583,25,18,S,M,8,4,4,8,7,8,39,10,20,30,9,69,5,1,5,0,10,7,28,8,6,10,6,14,10,54
482,2244,45,16,S,F,0,0,0,5,0,1,6,1,20,12,9,42,0,2,3,0,5,0,10,0,4,4,4,4,7,23
483,2877,26,17,S,F,8,4,4,8,5,7,36,10,20,33,9,72,?,?,?,?,?,?,0,0,9,4,9,9,9,40
484,3538,25,18,S,M,8,4,4,8,8,5,37,10,20,32,12,74,?,?,?,?,?,?,0,12,12,10,12,14,14,74
485,3902,25,16,S,M,?,?,?,?,?,?,0,10,19,19,9,57,9,10,3,0,2,4,28,0,12,10,12,7,10,51
486,4459,25,17,S,M,8,3,0,6,3,7,27,4,20,32,9,65,10,1,5,2,10,8,36,10,0,10,0,11,10,41
487,4964,25,17,S,M,8,4,4,8,6,8,38,10,20,34,6,70,0,0,7,7,10,7,31,12,14,10,8,14,10,68
488,5863,28,17,S,M,7,3,0,8,0,6,24,0,16,35,9,60,?,?,?,?,?,?,0,1,0,8,1,0,7,17
489,7072,20,16,S,M,8,4,4,8,8,7,39,5,19,25,9,58,0,4,4,0,8,10,26,12,12,10,12,11,14,71
490,8214,26,16,S,M,8,2,0,8,5.5,4,27.5,1,14,30,6,51,0,5,3,0,10,9,27,8,12,9,6,10,7,52
491,9298,25,17,S,M,6,0,0,8,5,5,24,1,19,22,1,43,0,0,0,0,0,0,0,12,0,5,4,9,10,40
492,174,25,17,S,M,2,3,0,6,0,4,15,1,20,13,11,45,0,3,3,7,0,9,22,10,0,10,6,14,7,47
493,3547,22,17,S,M,0,0,3,8,0,0,11,?,?,?,?,0,?,?,?,?,?,?,0,?,?,?,?,?,?,0
494,298,25,16,S,M,1,2,4,7,6,3,23,8,14,23,9,54,9,8,8,7,10,10,52,3,6,10,10,0,10,39
495,684,21,19,S,M,6,2,2,8,6.5,4,28.5,2,14,27,9,52,0,0,10,5,10,10,35,12,0,10,12,14,10,58
496,1645,22,16,S,F,8,0,4,3,0,2,17,0,17,12,0,29,0,5,1,0,0,0,6,1,0,10,1,1,7,20
497,2341,26,18,S,F,8,4,0,8,6,7,33,0,19,19,0,38,8,2,0,0,10,8,28,10,0,0,1,11,7,29
498,2899,26,18,S,F,3,4,4,6,7,4,28,0,13,22,9,44,6,2,1,0,8,9,26,8,0,7,4,2,7,28
499,3562,27,17,S,M,5,2,0,6,1,5,19,0,19,17,1,37,0,5,3,0,0,0,8,3,0,8,4,4,7,26
500,3913,22,20,S,M,2,3,0,6,1,4,16,6,13,15,3,37,0,8,3,0,8,0,19,10,5,5,1,11,14,46
501,4512,25,17,S,M,8,2,4,8,6,6,34,2,20,35,9,66,0,5,0,1,0,0,6,10,2,7,6,7,10,42
502,4986,25,19,S,M,?,?,?,?,?,?,0,10,9,38,9,66,5,8,7,0,10,10,40,10,14,10,12,14,10,70
503,5896,22,16,S,F,6,4,0,6,0,0,16,1,14,20,0,35,0,1,0,0,8,4,13,0,6,6,1,7,7,27
504,7094,28,18,S,M,8,2,0,8,5,7,30,6,19,25,5,55,0,0,10,7,10,7,34,12,12,10,0,12,10,56
505,8225,20,16,S,M,8,3,2,8,6,5,32,10,13,19,9,51,3,10,0,5,0,5,23,6,5,10,1,8,9,39
506,9413,25,20,S,M,8,4,4,8,2,6,32,10,17,17,3,47,4,5,6,0,8,3,26,12,12,10,9,12,10,65
507,333,45,16,S,F,5,0,0,0,0,2,7,0,8,3,3,14,0,3,0,0,9,2,14,2,0,1,0,0,3,6
508,5012,22,16,S,M,7,4,0,8,5,8,32,1,10,30,6,47,5,3,3,0,10,7,28,10,6,10,12,13,10,61
509,338,25,18,S,F,6,4,4,8,2,6,30,0,18,16,9,43,?,?,?,?,?,?,0,0,0,7,4,10,7,28
510,819,26,20,S,M,8,4,4,8,7,8,39,1,19,34,9,63,3,5,7,0,2,9,26,10,10,10,4,9,7,50
511,1667,26,17,S,M,3,3,4,8,8,8,34,7,8,6,5,26,2,7,5,0,10,0,24,6,0,6,2,3,7,24
512,2385,26,18,S,F,8,4,3,7,6,7,35,0,17,24,9,50,7,8,3,0,10,7,35,10,6,10,1,14,7,48
513,2985,20,17,S,M,8,2,0,3,2,0,15,0,19,8,0,27,2,8,2,0,10,2,24,3,12,10,4,11,10,50
514,3595,25,20,S,M,6,4,4,6,2,4,26,0,14,15,3,32,0,6,0,0,8,10,24,3,6,0,4,9,7,29
515,3957,28,20,S,M,4,3,0,7,0,5,19,0,0,8,0,8,0,5,1,0,0,0,6,10,0,8,3,7,0,28
516,4523,21,17,S,M,6,0,0,2,0,2,10,1,10,4,9,24,0,8,0,0,10,7,25,0,0,8,2,3,9,22
517,5014,25,20,S,M,8,4,4,8,8,8,40,10,20,34,12,76,?,?,?,?,?,?,0,12,16,8,0,14,14,64
518,6054,21,19,S,M,4,4,4,3,6,2,23,1,20,25,8,54,3,0,1,0,7,2,13,12,0,10,8,7,7,44
519,7229,26,18,S,F,5,4,4,8,6,3,30,1,14,28,9,52,0,0,0,0,0,8,8,0,8,4,2,11,8,33
520,8236,45,17,S,M,?,?,?,?,?,?,0,0,20,10,9,39,3,3,0,0,9,9,24,0,0,10,0,1,7,18
521,9468,25,18,S,M,?,?,?,?,?,?,0,10,20,30,11,71,10,10,4,0,10,9,43,12,13,10,12,12,14,73
522,366,28,19,S,M,3,0,3,2,0.5,3,11.5,0,20,10,0,30,0,5,0,0,0,9,14,0,0,8,0,0,7,15
523,5429,25,16,S,M,6,4,4,8,4,3,29,1,18,29,9,57,?,?,?,?,?,?,0,0,12,4,12,10,7,45
524,351,26,19,S,M,8,2,4,8,0,3,25,0,19,23,9,51,0,0,3,0,10,2,15,10,0,3,0,3,7,23
525,843,21,20,S,M,7,2,0,6,0,0,15,1,14,7,4,26,2,4,1,0,0,9,16,0,0,10,4,11,7,32
526,1678,26,20,S,M,8,2,0,8,6,7,31,0,14,7,9,30,0,1,0,0,9,8,18,0,0,3,0,3,7,13
527,2482,24,16,S,F,6,4,2,6,5,3,26,0,20,30,5,55,8,1,3,6,10,10,38,5,10,5,1,5,10,36
528,3057,26,19,S,M,6,2,0,0,1,4,13,0,18,14,9,41,0,0,0,0,8,7,15,0,5,8,0,1,7,21
529,3602,24,20,S,M,3,4,4,8,8,6,33,8,20,24,3,55,?,?,?,?,?,?,0,12,12,5,0,10,10,49
530,4042,28,19,S,M,8,2,4,8,5,4,31,1,14,23,6,44,2,8,7,0,10,8,35,10,6,10,6,6,10,48
531,4591,24,18,S,M,8,3,4,8,5,6,34,10,17,28,8,63,2,3,3,0,9,7,24,10,10,3,9,7,10,49
532,5071,24,19,S,M,6,2,2,6,3,6,25,2,19,22,4,47,2,2,3,0,10,10,27,12,0,3,6,14,7,42
533,6087,25,16,S,M,8,4,4,8,8,8,40,2,20,29,9,60,0,0,0,0,0,0,0,11,8,10,12,14,10,65
534,7231,25,18,S,M,6,4,4,8,5,3,30,2,19,23,9,53,5,6,0,0,7,10,28,11,6,10,9,12,10,58
535,8258,26,18,S,M,1,0,2,6,6,1,16,0,16,10,9,35,0,6,6,2,10,7,31,10,0,10,1,0,0,21
536,9519,25,16,S,M,8,2,4,8,7,8,37,1,14,30,9,54,10,8,0,2,9,9,38,12,6,10,12,11,10,61
537,439,22,18,S,M,8,2,0,8,0,6,24,0,14,14,0,28,0,5,0,3,10,8,26,11,14,5,0,0,0,30
538,5775,26,17,S,M,?,?,?,?,?,?,0,0,0,0,0,0,?,?,?,?,?,?,0,0,0,0,0,0,0,0
539,373,25,20,S,M,8,4,4,3,6,6,31,1,13,27,9,50,5,1,3,0,0,9,18,0,12,3,5,8,7,35
540,995,25,17,S,M,3,3,4,8,8,8,34,?,?,?,?,0,0,5,1,0,0,2,8,0,0,5,7,4,7,23
541,1689,21,19,S,M,7,4,4,8,7.5,4.5,35,1,20,8,9,38,0,10,3,0,10,8,31,3,0,2,3,2,10,20
542,2493,45,16,S,F,8,3,4,8,8,8,39,10,20,30,9,69,?,?,?,?,?,?,0,10,6,0,9,13,10,48
543,3068,25,20,S,M,6,2,4,8,7.5,5,32.5,4,19,24,9,56,0,0,3,0,10,5,18,0,2,9,6,11,5,33
544,3613,25,17,S,M,8,0,4,8,0,8,28,0,20,27,9,56,5,5,3,0,0,8,21,12,2,10,0,14,11,49
545,4064,26,20,S,M,5,2,0,8,6,4,25,1,18,29,4,52,0,2,0,2,9,9,22,0,0,7,0,7,7,21
546,4607,25,20,S,M,8,4,4,8,7.5,8,39.5,10,20,27,9,66,10,10,9,8,10,9,56,5,12,10,12,14,11,64
547,5177,25,20,S,M,8,4,4,8,7,8,39,10,20,38,9,77,5,0,10,8,10,9,42,12,11,10,10,14,11,68
548,6257,22,18,S,F,7,0,1,8,7,0,23,0,14,1,9,24,2,0,3,0,10,5,20,8,0,10,6,3,3,30
549,7489,25,17,S,F,8,2,2,8,6,6,32,8,16,38,9,71,?,?,?,?,?,?,0,0,12,10,12,14,10,58
550,8611,40,19,S,M,8,4,0,8,6,8,34,7,19,24,3,53,0,2,0,0,0,0,2,0,0,10,12,6,7,35
551,9651,22,16,S,M,?,?,?,?,?,?,0,0,20,29,11,60,10,9,7,7,10,0,43,5,0,0,0,13,14,32
552,452,45,19,S,M,6,0,0,3,5,2,16,1,12,5,8,26,1,3,5,1,10,9,29,8,0,10,2,10,7,37
553,9477,22,18,S,M,?,?,?,?,?,?,0,0,1,0,0,1,?,?,?,?,?,?,0,1,12,4,0,0,4,21
554,468,26,18,S,F,2,4,2,7,7,2,24,1,8,24,0,33,2,3,0,3,8,0,16,6,0,3,0,0,7,16
555,1001,26,17,S,M,5,4,4,7,6,7,33,0,20,25,0,45,0,2,0,0,0,0,2,3,0,2,4,8,10,27
556,1718,20,19,S,M,8,4,4,8,6,7,37,?,?,?,?,0,8,6,0,0,0,3,17,4,0,9,0,1,2,16
557,2522,40,17,S,F,6,0,0,6,6,5,23,0,18,19,9,46,?,?,?,?,?,?,0,7,0,7,5,2,7,28
558,3108,25,16,S,M,8,4,4,8,6,6,36,0,20,8,9,37,0,3,3,0,0,0,6,10,6,10,9,2,10,47
559,3624,25,16,S,M,7,2,3,8,8,6,34,2,17,23,8,50,8,2,3,0,10,6,29,12,0,5,1,4,7,29
560,4201,22,20,S,M,8,4,4,5,6,8,35,2,19,18,9,48,10,10,0,0,10,0,30,12,13,7,8,11,9,60
561,4783,45,18,S,M,8,3,0,7,5,7,30,0,13,20,9,42,0,4,3,0,0,0,7,12,0,4,0,11,2,29
562,5239,45,17,S,M,5,2,0,5,0,5,17,0,16,2,9,27,0,0,3,0,0,0,3,12,4,9,0,0,0,25
563,6449,28,19,S,M,6,2,4,8,8,7,35,0,20,22,4,46,10,0,7,0,10,0,27,1,4,0,7,6,11,29
564,7604,26,20,S,M,2,4,4,7,5.5,7,29.5,10,19,15,6,50,7,3,9,0,9,3,31,1,0,9,1,11,10,32
565,8677,25,18,S,M,8,4,2,3,2,4,23,2,11,22,3,38,0,3,3,0,9,4,19,5,0,5,6,12,10,38
566,9684,22,16,S,M,8,2,4,8,7,7,36,10,19,31,8,68,10,10,10,10,10,10,60,8,12,10,13,12,7,62
567,474,25,16,S,M,7,2,0,8,0,2,19,1,19,25,8,53,2,9,1,0,0,2,14,10,0,10,6,5,7,38
568,126,24,16,S,M,8,4,4,8,8,8,40,?,?,?,?,0,10,2,5,0,5,0,22,11,6,5,0,0,10,32
569,508,21,16,S,F,6,4,2,8,4,4,28,1,11,24,3,39,0,0,0,0,0,4,4,0,0,3,0,5,7,15
570,1056,25,16,S,M,5,1,4,6,6,6,28,7,19,23,1,50,0,5,0,0,7,2,14,10,0,0,1,8,9,28
571,1753,25,18,S,M,5,3,2,8,5,6,29,0,20,20,4,44,?,?,?,?,?,?,0,10,0,10,4,11,7,42
572,2588,40,18,S,F,2,4,4,2,1,4,17,1,19,16,9,45,0,6,0,0,9,0,15,8,12,2,0,4,10,36
573,3238,24,16,S,M,4,3,0,2,0,0,9,0,6,5,0,11,0,1,0,0,10,7,18,5,0,3,2,0,3,13
574,3646,25,20,S,M,8,3,0,8,8,8,35,7,16,22,9,54,2,7,7,0,10,10,36,8,12,1,12,14,10,57
575,4256,24,16,S,M,2,2,4,5,0,3,16,0,19,13,3,35,?,?,?,?,?,?,0,0,0,2,6,5,7,20
576,4794,26,20,S,M,2,4,0,8,6,4,24,5,17,20,3,45,0,5,5,0,10,7,27,11,0,5,6,6,7,35
577,5296,25,19,S,M,?,?,?,?,?,?,0,10,8,4,9,31,0,5,0,0,8,3,16,10,12,10,0,1,7,40
578,6579,27,20,S,F,6,0,0,4,8,4,22,0,19,13,9,41,0,3,0,4,8,9,24,0,0,3,0,2,7,12
579,7959,26,19,S,M,4,4,4,8,6,8,34,10,20,24,9,63,0,0,0,0,0,0,0,5,0,10,4,7,10,36
580,8699,26,19,S,M,8,4,0,8,7,4,31,10,20,36,9,75,?,?,?,?,?,?,0,2,4,10,7,14,8,45
581,9735,25,20,S,M,7,0,1,0,0,5,13,0,20,9,3,32,0,6,3,0,10,9,28,12,0,10,9,10,7,48
582,783,28,20,S,M,0,2,2,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
583,565,40,19,S,M,8,0,0,5,0,3,16,10,13,19,9,51,0,0,3,0,0,0,3,0,10,10,5,4,10,39
584,1089,25,18,S,M,6,4,0,5,6,4,25,10,20,32,9,71,10,6,4,1,10,10,41,10,12,10,9,14,10,65
585,1764,25,16,S,M,5,3,0,8,5,3,24,0,16,27,0,43,?,?,?,?,?,?,0,10,4,0,5,14,2,35
586,2639,25,18,S,F,6,4,4,5,6,5,30,2,17,32,3,54,8,0,0,0,10,8,26,8,12,5,3,13,10,51
587,3251,27,20,S,M,4,0,0,6,6,2,18,0,13,8,0,21,2,0,0,1,10,8,21,10,6,0,0,2,7,25
588,3681,25,18,S,M,7,2,4,7,8,6,34,3,19,29,3,54,9,8,9,0,10,8,44,12,3,10,8,13,10,56
589,4307,25,20,S,M,8,4,4,8,5,8,37,10,20,9,9,48,7,7,0,0,10,1,25,1,12,7,10,9,10,49
590,4801,45,17,S,M,7,2,0,4,3,5,21,0,16,31,9,56,?,?,?,?,?,?,0,4,0,10,4,0,7,25
591,5382,24,16,S,F,4,4,4,8,5,7,32,0,19,10,7,36,1,1,0,0,10,4,16,2,6,7,9,12,11,47
592,6608,26,19,S,M,5,2,0,6,5,2,20,0,17,24,2,43,0,1,3,0,10,4,18,10,0,9,0,3,7,29
593,8088,26,20,S,F,7,2,0,8,6,4,27,0,18,23,3,44,0,1,0,6,7,8,22,4,0,6,4,6,7,27
594,8774,25,18,S,F,8,4,2,8,5,4,31,1,13,15,0,29,0,1,0,0,10,10,21,4,0,0,4,9,7,24
595,9779,28,17,S,M,8,2,0,8,6,6,30,10,20,31,9,70,2,1,1,0,9,10,23,12,10,10,9,14,14,69
596,794,25,17,S,M,?,?,?,?,?,?,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,10,0,0,0,10
597,598,25,16,S,F,6,1,4,8,6,7,32,5,19,14,12,50,0,7,7,0,10,6,30,10,14,6,4,10,7,51
598,1215,25,19,S,F,7,4,0,5,1,2,19,0,18,5,0,23,0,0,1,0,10,0,11,10,0,10,0,0,7,27
599,1978,25,19,S,F,8,4,4,8,4.5,6,34.5,10,20,30,9,69,?,?,?,?,?,?,0,10,12,10,9,8,7,56
600,2674,40,17,S,F,8,0,4,8,5,1,26,0,19,19,9,47,0,5,0,0,8,9,22,10,0,10,0,12,7,39
601,3324,25,17,S,M,6,4,0,8,7,4,29,0,20,17,9,46,0,0,0,0,10,9,19,12,12,10,9,13,7,63
602,3721,22,18,S,M,4,4,2,8,6,7,31,1,20,31,0,52,0,1,1,0,9,7,18,12,0,0,1,13,10,36
603,4331,45,18,S,M,8,4,0,8,0,2,22,10,20,30,9,69,10,5,10,7,10,6,48,5,12,0,4,6,0,27
604,4856,40,18,S,M,8,2,4,8,6,4,32,1,20,16,9,46,0,0,1,0,10,8,19,3,12,3,6,9,3,36
605,5393,25,19,S,M,7,3,0,7,8,3,28,1,19,32,10,62,0,5,3,4,10,8,30,12,13,10,9,14,14,72
606,6687,25,19,S,M,8,4,4,8,6,4,34,6,20,29,11,66,9,10,5,7,9,9,49,12,12,6,12,14,11,67
607,8139,25,20,S,M,8,2,4,6,8,6,34,2,17,19,9,47,7,10,3,6,10,10,46,8,12,3,6,4,7,40
608,8785,21,16,S,M,8,2,0,8,4,5,27,10,14,9,3,36,0,2,3,0,10,9,24,3,18,6,6,9,2,44
609,9898,25,20,S,M,2,4,4,6,0,4,20,0,19,16,3,38,0,8,3,1,9,9,30,12,8,5,9,6,0,40
610,1106,49,20,S,F,?,?,?,?,?,?,0,0,5,5,0,10,?,?,?,?,?,?,0,0,0,1,0,0,7,8
611,616,21,18,S,F,6,2,0,8,8,3,27,0,20,13,9,42,0,0,3,0,10,10,23,0,0,0,0,2,7,9
612,1226,40,19,S,F,8,0,4,4,0,8,24,0,0,0,0,0,10,0,8,0,0,10,28,0,0,5,12,8,14,39
613,2028,25,16,S,F,?,?,?,?,?,?,0,0,17,9,0,26,0,4,0,0,7,2,13,12,0,5,1,5,6,29
614,2685,25,17,S,F,7,2,2,3,2,3,19,1,18,13,5,37,1,7,0,0,0,10,18,10,6,5,6,14,7,48
615,3335,20,18,S,M,3,2,0,4,0,4,13,0,16,10,3,29,0,7,1,0,8,0,16,12,0,10,0,0,8,30
616,3787,27,17,S,M,3,2,0,6,5,4,20,1,12,20,0,33,3,0,2,0,0,0,5,10,0,1,1,5,4,21
617,4364,22,16,S,M,8,0,4,0,8,6,26,0,18,25,9,52,2,7,3,0,0,8,20,6,0,10,6,6,10,38
618,4867,26,17,S,M,5,2,0,2,1,2,12,1,15,7,5,28,0,1,3,0,0,0,4,0,0,7,6,4,7,24
619,5466,22,16,S,M,8,3,4,2,0,6,23,10,17,12,9,48,0,10,10,0,0,8,28,0,0,3,6,6,7,22
620,6795,25,18,S,M,6,2,4,6,0,5,23,1,11,25,9,46,0,0,0,0,10,7,17,10,0,3,8,13,10,44
621,8163,25,19,S,M,7,3,3,6,2,7,28,1,16,20,2,39,9,4,3,0,0,6,22,12,12,6,4,7,7,48
622,8796,25,17,S,F,4,4,0,6,6,2,22,0,2,4,3,9,0,3,1,0,10,5,19,8,0,5,6,11,7,37
623,9905,25,16,S,M,8,2,3,8,6,8,35,?,?,?,?,0,10,10,2,3,10,10,45,8,0,10,12,14,14,58
624,62,28,19,S,M,4,2,0,0,1,6,13,0,16,12,9,37,0,5,5,0,10,8,28,8,3,6,0,12,8,37
625,627,25,20,S,F,1,0,0,5,1,5,12,0,20,8,2,30,0,8,3,0,0,2,13,3,8,0,4,3,7,25
626,1294,40,18,S,F,8,4,4,8,5,8,37,10,20,30,9,69,7,5,5,7,10,7,41,12,0,9,6,14,11,52
627,2096,21,16,S,F,0,0,0,6,3,2,11,1,16,11,3,31,0,1,7,5,10,0,23,0,0,5,1,11,10,27
628,2758,25,17,S,F,7,0,2,8,4,2,23,0,17,16,3,36,0,7,3,0,10,7,27,10,10,9,8,5,2,44
629,3419,25,17,S,M,7,4,4,3,5,4,27,1,19,13,0,33,0,8,6,0,10,0,24,12,8,10,4,10,10,54
630,3851,28,17,S,M,6,2,1,3,6,4,22,0,18,22,9,49,0,1,3,0,10,4,18,0,8,3,6,5,10,32
631,4375,40,20,S,M,8,4,4,8,8,7,39,10,20,30,9,69,0,5,0,0,0,0,5,12,12,10,6,11,10,61
632,4907,25,19,S,M,8,4,4,8,6,8,38,1,19,26,9,55,5,5,10,0,10,10,40,8,0,7,6,14,7,42
633,5614,25,20,S,M,8,4,4,8,6,8,38,10,20,31,9,70,?,?,?,?,?,?,0,12,11,10,12,14,10,69
634,6908,20,19,S,F,6,2,2,6,4.5,7,27.5,0,19,14,0,33,?,?,?,?,?,?,0,0,0,4,0,2,7,13
635,8174,24,19,S,F,8,2,0,8,6,6,30,1,19,32,9,61,7,0,7,0,10,8,32,10,12,10,7,10,10,59
636,8909,45,20,S,M,8,3,0,7,4,4,26,0,4,12,0,16,0,3,0,0,0,4,7,0,11,4,4,5,7,31
637,9995,21,19,S,M,4,4,3,3,4,2,20,1,20,15,6,42,0,0,0,0,0,4,4,8,0,5,4,8,10,35
